*	*	2534057	1.0	
ele26917	sna80324	121	4.7749517868e-05	
ele32164	fro78087	121	4.7749517868e-05	
ele32164	gro30386	121	4.7749517868e-05	
fro40251	gro56726	121	4.7749517868e-05	
gro38814	gro73461	121	4.7749517868e-05	
gro73461	sna90094	121	4.7749517868e-05	
dai31081	sna80324	120	4.73548937534e-05	
dai35347	ele66810	120	4.73548937534e-05	
dai50913	gro33815	120	4.73548937534e-05	
dai87448	ele30933	120	4.73548937534e-05	
ele17451	gro21487	120	4.73548937534e-05	
ele25077	gro89004	120	4.73548937534e-05	
ele74009	fro40251	120	4.73548937534e-05	
ele99737	fro80039	120	4.73548937534e-05	
fro40251	sna93860	120	4.73548937534e-05	
ele17451	ele74009	119	4.69602696388e-05	
ele21353	fro19221	119	4.69602696388e-05	
ele26917	ele66600	119	4.69602696388e-05	
ele26917	ele74009	119	4.69602696388e-05	
ele59935	gro46854	119	4.69602696388e-05	
fro40251	gro38983	119	4.69602696388e-05	
fro40251	sna72163	119	4.69602696388e-05	
fro47962	gro73461	119	4.69602696388e-05	
fro53271	gro59710	119	4.69602696388e-05	
dai55911	dai62779	118	4.65656455242e-05	
dai62779	fro61354	118	4.65656455242e-05	
dai75645	fro92469	118	4.65656455242e-05	
ele17451	fro80039	118	4.65656455242e-05	
ele32164	sna45677	118	4.65656455242e-05	
ele66600	fro85978	118	4.65656455242e-05	
ele74009	ele92920	118	4.65656455242e-05	
ele99737	gro73461	118	4.65656455242e-05	
fro40251	gro69543	118	4.65656455242e-05	
gro59710	gro94758	118	4.65656455242e-05	
dai42083	dai62779	117	4.61710214095e-05	
dai63921	sna45677	117	4.61710214095e-05	
ele53126	fro53271	117	4.61710214095e-05	
ele59028	sna93860	117	4.61710214095e-05	
fro16142	fro40251	117	4.61710214095e-05	
fro85978	gro15017	117	4.61710214095e-05	
fro85978	sna95666	117	4.61710214095e-05	
sna80324	sna99873	117	4.61710214095e-05	
dai35347	dai62779	116	4.57763972949e-05	
dai62779	gro56726	116	4.57763972949e-05	
dai63921	ele17451	116	4.57763972949e-05	
dai75645	ele11111	116	4.57763972949e-05	
dai75645	ele20847	116	4.57763972949e-05	
